情報名,,セッション情報,,,,,,,,,
スキーマ名,,,,,,,,,,,
エンティティ名,,session,,,,,,,,,
エンティティ説明,,実際の予約枠情報,,,,,,,,,
,,,,,,,,,,,
No.,項目名称,カラムID,PK,FK,"ＵＮ
制約",Null値,INDEX,データ型,桁,デフォルト値,カラム定義（説明）
1,セッションID,session_id,〇,,,,,VARCHAR,10,,SS + 8桁数字連番
2,作成年月日時分秒,crt_time,,,,,,TIMESTAMP,-,,
3,更新年月日時分秒,upd_time,,,,,,TIMESTAMP,-,,
4,プログラムID,program_id,,〇,,,,VARCHAR,8,,
5,ロケーションID,location_id ,,〇,,,,VARCHAR,6,,
6,スタッフID,staff_id,,〇,,,,VARCHAR,7,,
7,開始日,start_date,,,,,,DATE,-,,YYYY/MM/DD
8,開始時間,start_time,,,,,,DATE,-,,HH:MM
9,定員,capacity,,,,,,SMALLINT,-,,
10,体験定員,exp_capacity,,,,,,SMALLINT,-,,
11,ステータス,status,,,,,,TINYINT,-,1,"1:予定
2:終了
9:中止"
