情報名,,プログラムマスタ,,,,,,,,,
スキーマ名,,,,,,,,,,,
エンティティ名,,program_master,,,,,,,,,
エンティティ説明,,レッスンや講座の基本情報を格納,,,,,,,,,
,,,,,,,,,,,
No.,項目名称,カラムID,PK,FK,"ＵＮ
制約",Null値,INDEX,データ型,桁,デフォルト値,カラム定義（説明）
1,プログラムID,program_id,〇,,,,,VARCHAR,8,,PR + 6桁数字連番
2,作成年月日時分秒,crt_time,,,,,,TIMESTAMP,-,,
3,更新年月日時分秒,upd_time,,,,,,TIMESTAMP,-,,
4,カテゴリ,category,,,,,,VARCHAR,100,,ヨガ、ピラティス、エクササイズ、東大、私大等
5,名称,program_name,,,,,,VARCHAR,100,,
6,レベル,program_level,,,,,,VARCHAR,50,,
7,種別,type,,,,,,VARCHAR,3,,"例
1:グループ
2:プライベート"
8,プログラム時間,program_time,,,,,,TINYINT,-,,分単位で設定
9,概要,program_overview,,,,,,VARCHAR,500,,
10,詳細,program_detail,,,,,,VARCHAR,500,,
11,料金,program_price,,,,,,DECIMAL,"6,0",,個別の料金
12,ポイント,program_point,,,,,,INT,-,,消費するポイント
13,チケット,program_ticket,,,,,,INT,-,,消費するチケット
14,ステータス,status,,,,,,TINYINT,-,1,"1:有効
9:無効"
