情報名,,メール通知マスタ,,,,,,,,,
スキーマ名,,,,,,,,,,,
エンティティ名,,mail_info_master,,,,,,,,,
エンティティ説明,,状況に応じて送信するメール情報を定義する,,,,,,,,,
,,,,,,,,,,,
No.,項目名称,カラムID,PK,FK,"ＵＮ
制約",Null値,INDEX,データ型,桁,デフォルト値,カラム定義（説明）
1,メール送信者,mail_sender,,,,,,VARCHAR,100,,
2,会員承認通知タイトル,verified_mail_title,,,,,,VARCHAR,100,,
3,会員承認通知本文,verified_mail,,,,,,TEXT,-,,
4,会員登録完了通知タイトル,registered_mail_title,,,,,,VARCHAR,100,,
5,会員登録完了通知本文,registered_mail,,,,,,TEXT,-,,
6,体験予約完了通知タイトル,exp_reserved_mail_title,,,,,,VARCHAR,100,,
7,体験予約完了通知本文,exp_reserved_mail,,,,,,TEXT,-,,
8,支払い完了通知タイトル,paid_mail_title,,,,,,VARCHAR,100,,
9,支払い完了通知本文,paid_mail,,,,,,TEXT,-,,
10,予約完了通知タイトル,reserved_mail_title,,,,,,VARCHAR,100,,
11,予約完了通知本文,reserved_mail,,,,,,TEXT,-,,
12,予約キャンセル通知タイトル,reserve_canceled_mail_title,,,,,,VARCHAR,100,,
13,予約キャンセル通知本文,reserve_canceled_mail,,,,,,TEXT,-,,
14,退会完了通知タイトル,withdrawn_mail_title,,,,,,VARCHAR,100,,
15,退会完了通知本文,withdrawn_mail,,,,,,TEXT,-,,
