情報名,,プログラム繰返し設定,,,,,,,,,
スキーマ名,,,,,,,,,,,
エンティティ名,,program_reputation_rule,,,,,,,,,
エンティティ説明,,プログラムの繰り返しルールを設定。sessionを自動生成するためのルール。,,,,,,,,,
,,,,,,,,,,,
No.,項目名称,カラムID,PK,FK,"ＵＮ
制約",Null値,INDEX,データ型,桁,デフォルト値,カラム定義（説明）
1,ID,id,〇,,,,,INT,-,,AUTO_INCREMENT
2,作成年月日時分秒,crt_time,,,,,,TIMESTAMP,-,,
3,更新年月日時分秒,upd_time,,,,,,TIMESTAMP,-,,
4,プログラムID,program_id,,〇,,,,VARCHAR,8,,
5,施設ID,location_id ,,〇,,,,VARCHAR,6,,
6,スタッフID,staff_id,,〇,,,,VARCHAR,7,,
7,周期タイプ,cycle_type,,,,,,TINYINT,-,,"1:日次
2:週次
3:月次"
8,曜日,day_of_week,,,,,,VARCHAR,1,,
9,週,week_of_month,,,,,,TINYINT,-,,第〇週を数字で指定
10,開始日,start_date,,,,,,DATE,-,,YYYY/MM/DD
11,終了日,end_date,,,,,,DATE,-,,YYYY/MM/DD
12,開始時間,start_time,,,,,,DATE,-,,HH:MM
13,定員,capacity,,,,,,SMALLINT,-,,
14,体験定員,exp_capacity,,,,,,SMALLINT,-,,
15,ステータス,status,,,,,,TINYINT,-,1,"1:有効
9:無効"
